booth_number,candidate_1_votes,candidate_2_votes,candidate_3_votes,candidate_4_votes,candidate_5_votes,candidate_6_votes,candidate_7_votes,candidate_8_votes,candidate_9_votes,candidate_10_votes
1,976,2961,2776,1878,5755,3941,9237,2766,9771,2477
2,3036,6110,6141,5611,8341,5434,3657,4337,3702,2580
3,6440,720,8860,5610,9400,4031,5545,189,3529,9924
4,9306,7120,7545,6189,5780,5037,1180,4939,2026,9800
5,2778,9175,1458,366,786,2277,320,63,8684,7387
6,1286,4278,9040,3311,9226,7956,5548,6539,4014,906
7,32,79,8073,4995,5068,7256,6996,723,3955,9302
8,3757,6235,2395,3148,4601,2315,3059,4666,2065,546
9,8529,7087,7633,846,1656,6710,6209,8277,2259,4365
10,9507,6264,5965,1949,3825,7105,4343,3274,2585,4974
11,6443,1479,668,8162,1257,3820,6820,4412,9638,4178
12,3215,8506,8539,6122,3231,1269,5258,1848,7217,9021
13,5294,8616,3641,3557,2999,9087,8571,7944,5670,6569
14,800,7638,1207,9928,2346,2946,5174,1743,8490,710
15,9882,1314,8285,9588,2698,4061,4408,6505,3966,7279
16,6524,2343,6688,1276,2764,1250,6460,281,3066,9501
17,8028,2941,9612,7246,9653,9798,4742,3471,9117,8812
18,8545,7985,1955,6668,7954,928,5155,7200,9447,471
19,5430,8296,7968,9968,1173,49,5359,6071,1482,6042
20,542,7759,6916,3557,8707,1497,6248,9736,5877,9569
21,1141,6570,7035,2752,4593,1765,1160,5036,2461,2172
22,2118,5379,2220,8691,7368,797,640,3425,1732,2437
23,1457,7110,1819,5357,2679,3704,2463,2018,4949,4469
24,9042,8281,6961,9643,6405,4250,5537,3125,1824,306
25,5835,5077,8934,7973,7422,5132,6467,7162,8815,4150
26,7645,5745,2778,1209,3154,5955,3379,9996,6128,4659
27,9764,2275,1173,1092,1517,796,2543,9189,2249,7477
28,8172,1422,1562,8370,9601,458,4186,3644,5396,472
29,354,9438,7278,1007,2111,3207,710,6563,2512,1297
30,8088,3982,7692,4038,6766,4997,7251,9046,7313,8363
31,1828,2580,248,8330,5614,4213,2606,155,9179,7382
32,6114,4085,4072,1271,2083,689,5805,297,8168,3660
33,4141,825,4096,2746,7573,3957,1056,4568,5471,4422
34,9586,2181,6723,8960,3727,6090,2951,5402,8539,9856
35,9541,4866,4657,1392,3444,1741,279,218,8008,3318
36,2827,9637,9403,5896,2390,8933,3023,8815,7329,9097
37,340,8859,7557,370,7862,8912,2503,3942,4640,6064
38,7003,5873,5537,4255,8924,9928,5247,3955,3492,6689
39,6427,5509,8273,7374,4192,6333,5218,222,2644,6662
40,2761,5677,6841,8968,9695,9335,4930,5418,7132,54
41,8743,9844,9310,3180,4736,7061,2448,5248,3511,2872
42,2946,6326,9779,1968,5548,9548,9746,258,7397,7911
43,5921,8011,898,4993,2656,5321,9499,1111,3520,6244
44,7076,5745,315,3642,2865,2071,63,5759,8977,4328
45,1945,4473,3904,153,4009,2093,2019,822,2878,9630
46,1692,5806,320,3362,6948,3569,6030,7729,7145,3402
47,8426,1532,197,6388,2181,9324,4327,728,5149,9374
48,6421,5884,6569,271,2811,9579,2393,5780,5084,5055
49,2170,2395,9114,4315,5476,7400,6936,6273,9832,7321
50,4771,6426,1891,4190,1309,9679,8915,8588,2315,818
51,8120,9119,3220,5086,5253,3224,5554,4892,6403,9665
52,416,8368,4224,8973,4487,1047,5470,6390,4314,1652
53,9595,1641,3192,2735,456,5998,6361,5177,2333,7896
54,2714,4444,3580,2403,7497,7813,1523,1208,499,3251
55,2324,5090,9220,7024,3864,1932,2807,2820,6700,1882
56,9623,1077,6286,1055,2427,7553,2158,3939,4977,9841
57,5226,1916,5712,4174,3267,6744,3857,4750,3869,1990
58,8207,3917,1821,5321,4140,4456,4418,7464,971,731
59,7677,8674,8133,2819,2888,2082,7433,9353,2536,416
60,7294,2534,151,310,8942,4014,2376,4354,3082,8359
61,3166,9245,6506,6222,293,7235,7338,6160,1059,6566
62,518,8954,3264,8753,1047,1518,2286,8169,9231,7646
63,9017,6786,5544,8685,8096,7050,4835,472,5617,9930
64,1447,2142,3334,7905,6414,2159,2816,2958,221,5295
65,6851,6244,3342,5738,12,344,6664,5036,1890,6415
66,7547,7862,8703,4325,4549,4565,3201,2458,9878,396
67,8947,2861,6611,8619,6238,4473,4928,4090,1111,285
68,7205,9795,7749,4927,3985,3522,42,9907,5278,8952
69,8169,6425,4439,7028,1653,870,3999,7182,3779,4944
70,1903,7990,3911,4471,6400,5915,2213,3837,1325,250
71,279,7344,2276,6998,601,58,5486,9548,7695,2963
72,3454,5287,6858,3060,377,2981,1030,960,3217,245
73,8950,457,3900,3646,1146,4045,5876,7784,8563,1869
74,9766,35,9700,3628,978,9619,6227,2523,3348,5749
75,8310,4283,2795,3633,3816,7547,3869,2989,7974,4104
76,319,5431,1927,4639,7034,7337,783,6251,1300,7128
77,9619,5506,4238,4537,3517,1009,7591,9407,844,1092
78,7700,6105,904,4041,3010,3201,3476,6057,5226,1387
79,9232,7966,3728,4244,2608,7460,5782,1796,6376,6726
80,4237,3452,3147,5276,6253,8378,6686,9584,8847,5779
81,3242,8521,3038,6008,1014,3015,4571,6762,3877,8637
82,5103,7712,8156,1652,8862,5464,7584,7962,8493,4247
83,7470,9935,2278,8517,9111,2779,6020,6016,3383,3341
84,5103,8554,4245,2260,8336,1442,465,8661,5848,8583
85,3672,3387,8540,1533,4239,5523,5352,7910,8223,1147
86,4674,6448,6621,599,6151,2659,9368,8331,6249,5878
87,5430,1792,850,5182,3191,302,9547,923,8180,448
88,202,6263,8353,6646,9350,5963,6380,4565,8123,6453
89,7878,1620,7031,1141,2748,7180,7586,5927,6473,4241
90,199,5955,1304,1550,5318,7495,4611,5296,5664,3344
91,2061,3013,5478,2927,8686,7932,2641,7536,4399,4651
92,5415,8733,588,3878,7037,8071,3260,842,6359,8582
93,6749,9680,8271,4320,3542,6595,9731,1382,3667,8866
94,8628,400,8013,3617,2752,2067,603,4844,7556,2388
95,8358,6048,6966,6409,6059,2853,9681,5335,648,2335
96,4676,3087,3221,3804,447,8764,1430,1021,1052,6588
97,362,1665,2937,6286,4653,859,5029,5550,3448,9443
98,5819,292,1928,6744,969,1689,138,6256,6517,286
99,75,3622,9416,1804,9731,1470,1622,4556,7043,6463
100,4860,8912,8236,8210,1368,8047,5382,8888,2276,460
101,2400,9483,8897,3482,3409,6959,9085,1371,7414,6997
102,4496,6189,5378,8615,6002,2366,9947,6760,2404,58
103,7373,1806,1902,5056,3004,4744,3527,4104,4973,8921
104,3498,559,9081,6132,1908,509,8101,1503,8151,9089
105,5875,2208,8190,5358,315,8264,6393,7154,3537,9580
106,2396,2456,7584,6631,4420,3358,9302,1804,2428,2205
107,3702,440,6366,4784,2031,8897,8631,1394,4988,7604
108,8775,8317,713,8502,5843,3079,3143,4457,380,9178
109,9971,464,6583,7301,5611,4948,8690,4948,107,7324
110,6051,7469,2270,4075,7318,3362,1418,7572,6708,4545
111,9654,3584,3706,6600,3227,1212,7963,3302,1112,3788
112,8239,9164,9842,275,6919,9335,2400,2704,7999,4065
113,65,6840,9671,6263,9636,4896,3363,4948,1381,4048
114,9983,4278,7069,3597,4326,7651,7872,3875,6641,5530
115,7938,8001,3017,4871,3147,9415,4272,4702,5549,4009
116,1373,7600,4109,7115,2150,1027,8850,2422,6392,1333
117,4411,1506,8580,3734,2405,9974,3857,1337,2015,6425
118,7197,5211,3585,6167,554,7973,3087,40,163,1735
119,7162,5124,5290,7598,4559,4220,4520,1874,3825,1744
120,471,4587,5755,7575,432,2203,8400,8495,5601,8286
121,6161,3865,3717,7486,6184,9193,2317,2142,1083,338
122,4883,2983,2519,9195,7105,2768,5869,1417,7084,557
123,139,8253,4845,6215,7480,9392,1387,611,7680,8851
124,7035,6288,326,3204,6187,3862,6932,5071,3852,3335
125,9169,6688,358,6730,9971,4592,4266,4182,6103,4544
126,9860,638,4004,3431,9598,7414,357,1966,7184,6336
127,9331,1200,9706,5098,7056,7246,9561,2774,6344,8307
128,3781,6295,5750,4949,7359,5172,7681,5423,1882,236
129,4774,6340,1094,5556,6928,1289,27,1719,8374,7306
130,3726,6805,3687,5810,4057,7007,5030,3607,7596,3907
131,4684,959,810,6586,3921,4507,2314,1243,8511,4380
132,6918,5572,8147,2644,4731,9676,3979,2640,4346,648
133,4992,6128,9429,1466,1631,3865,481,4565,4170,8827
134,2508,4011,2572,5240,9642,818,196,1171,6911,7983
135,7328,2795,2516,8866,8518,20,9349,2789,4715,1120
136,9479,242,5751,4222,3066,8388,5866,9000,703,3807
137,2814,4730,340,9914,5879,5883,8422,5488,2668,5237
138,8702,9696,346,1301,3451,770,685,6572,72,9792
139,2128,4458,3792,4325,721,7557,9416,507,4469,919
140,3090,5944,8211,1265,4063,5346,1752,564,4172,2308
141,8726,3959,6514,6245,9235,9931,1466,3384,3585,8138
142,9247,5336,4900,6346,5427,4063,2834,1594,5449,9933
143,1381,5575,9930,5251,4227,1731,1333,9315,8822,3727
144,3315,804,2010,6990,9457,8985,2134,1293,6203,7409
145,2720,6086,8403,4707,843,9931,1779,4613,1745,3636
146,8292,6722,313,9427,4320,5752,7472,6916,7890,8439
147,5168,3392,444,7863,7662,2393,3694,9015,9354,401
148,5866,874,1496,8627,4586,7458,1535,6794,1705,4484
149,4296,947,230,707,5964,2507,3634,8364,1422,9811
150,7651,4341,9,2623,3453,4463,7580,3645,3742,9496
151,8742,4672,9102,9061,8881,7689,9029,6642,7004,1591
152,4818,4650,8107,8614,953,46,7839,1463,2896,5645
153,7590,6017,6355,1030,5811,4599,7453,6715,4948,8277
154,5820,2420,5405,6495,4219,6153,8992,1917,8292,4475
155,3507,7784,3080,6811,8929,3642,864,2464,8421,544
156,459,7639,286,3261,226,8514,2119,9834,7415,2006
157,4829,9272,7985,9825,3880,91,8540,3483,6368,8397
158,9337,5470,6834,2536,7058,8474,5255,5451,5992,7117
159,7339,9548,3355,9978,4312,66,5837,113,7002,9773
160,1202,9329,5522,9577,3953,4235,3630,3782,9400,1771
161,834,8339,4406,5678,9230,2458,3280,5728,4234,5
162,1113,9518,5215,9003,4945,11,2662,3257,5736,4983
163,9172,4782,3006,9668,5439,2483,1900,8217,1588,7769
164,8708,8409,2422,280,5460,865,9705,2101,2513,8757
165,1229,5353,3411,1465,6492,4191,1053,2373,559,5050
